,imdb_tconst,primary_title,imdb_orig_title,start_year,runtime_minutes,genres,imdb_avg_rating,imdb_numvotes,db_genre_ids,db_id_x,original_language,db_orig_title,db_popularity,release_date_x,db_vote_avg,db_vote_count,production_budget,domestic_gross,worldwide_gross
0,tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018,122.0,Drama,6.9,4517.0,"[35, 18]",299782,en,The Other Side of the Wind,9.8,2018-11-02,7.0,64, , , 
1,tt0112502,Bigfoot,Bigfoot,2017,91.0,"Horror,Thriller",4.1,32.0,"[27, 878, 12]",117856,en,Bigfoot,2.813,2012-06-30,2.9,26, , , 
4,tt0192528,Heaven & Hell,Reverse Heaven,2018,104.0,Drama,4.0,72.0,[18],567662,en,Heaven & Hell,0.6,2018-11-06,7.5,2, , , 
5,tt0249516,Foodfight!,Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248.0,"[16, 28, 35, 10751]",116977,en,Foodfight!,4.705,2013-05-07,2.1,46,"$45,000,000",$0,"$73,706"
6,tt0255820,Return to Babylon,Return to Babylon,2013,75.0,"Biography,Comedy,Drama",5.9,123.0,"[35, 18]",323498,en,Return to Babylon,0.877,2013-08-11,7.0,1, , , 
7,tt0285252,Life's a Beach,Life's a Beach,2012,100.0,Comedy,3.9,219.0,[35],112074,en,Life's a Beach,1.206,2010-01-01,3.2,3, , , 
9,tt0293069,Dark Blood,Dark Blood,2012,86.0,Thriller,6.6,1053.0,[53],136884,en,Dark Blood,1.7209999999999999,2013-03-06,6.1,7, , , 
10,tt0297400,Snowblind,Snowblind,2015,91.0,"Crime,Drama",6.7,77.0,[37],49594,en,Snowblind,1.463,2010-11-11,4.3,7, , , 
12,tt0312305,Quantum Quest: A Cassini Space Odyssey,Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",5.1,287.0,[10751],23738,en,Quantum Quest: A Cassini Space Odyssey,1.207,2012-12-02,0.5,1, , , 
13,tt0315642,Wazir,Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378.0,"[53, 28, 80, 18, 9648]",275269,hi,वज़ीर,3.8810000000000002,2016-01-08,6.6,63, , , 
14,tt0323808,The Wicker Tree,The Wicker Tree,2011,96.0,"Drama,Horror",3.9,2328.0,"[9648, 27, 53]",79544,en,The Wicker Tree,2.9619999999999997,2012-01-27,4.4,25, , , 
15,tt0326592,The Overnight,The Overnight,2010,88.0, ,7.5,24.0,"[9648, 35]",308024,en,The Overnight,6.5760000000000005,2015-06-19,6.0,200,"$200,000","$1,109,808","$1,165,996"
17,tt0326965,In My Sleep,In My Sleep,2010,104.0,"Drama,Mystery,Thriller",5.5,1889.0,"[53, 9648]",40048,en,In My Sleep,1.795,2010-04-23,5.4,20, , , 
18,tt0331314,Bunyan and Babe,Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",5.0,302.0,"[12, 16, 35, 10751, 14]",435995,en,Bunyan and Babe,2.051,2017-01-12,6.2,9, , , 
19,tt0337692,On the Road,On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886.0,"[12, 18]",83770,en,On the Road,8.919,2012-12-21,5.6,518,"$25,000,000","$720,828","$9,313,302"
25,tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013,114.0,"Adventure,Comedy,Drama",7.3,275300.0,"[12, 35, 18, 14]",116745,en,The Secret Life of Walter Mitty,10.743,2013-12-25,7.1,4859,"$91,000,000","$58,236,838","$187,861,183"
26,tt0360556,Fahrenheit 451,Fahrenheit 451,2018,100.0,"Drama,Sci-Fi,Thriller",4.9,14469.0,"[18, 878, 53]",401905,en,Fahrenheit 451,11.657,2018-06-18,5.4,362, , , 
27,tt0365545,Nappily Ever After,Nappily Ever After,2018,98.0,"Comedy,Drama,Romance",6.4,6287.0,"[35, 10749]",519035,en,Nappily Ever After,12.057,2018-09-21,7.3,549, , , 
28,tt0365907,A Walk Among the Tombstones,A Walk Among the Tombstones,2014,114.0,"Action,Crime,Drama",6.5,105116.0,"[80, 18, 9648, 53]",169917,en,A Walk Among the Tombstones,19.373,2014-09-19,6.3,1685,"$28,000,000","$26,017,685","$62,108,587"
29,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,"[28, 12, 878, 53]",135397,en,Jurassic World,20.709,2015-06-12,6.6,14056,"$215,000,000","$652,270,625","$1,648,854,864"
30,tt0372538,Spy,Spy,2011,110.0,"Action,Crime,Drama",6.6,78.0,"[28, 80, 18, 9648, 53]",323867,en,Spy,1.4,2011-08-09,7.0,1, , , 
34,tt0376136,The Rum Diary,The Rum Diary,2011,119.0,"Comedy,Drama",6.2,94787.0,"[18, 35]",23514,en,The Rum Diary,12.011,2011-10-27,5.7,652,"$45,000,000","$13,109,815","$21,544,732"
35,tt0376479,American Pastoral,American Pastoral,2016,108.0,"Crime,Drama",6.1,12898.0,"[80, 18]",326285,en,American Pastoral,7.782,2016-10-21,6.0,339, , , 
37,tt0377981,Gnomeo & Juliet,Gnomeo & Juliet,2011,84.0,"Adventure,Animation,Comedy",6.0,49550.0,"[16, 10751]",45772,en,Gnomeo & Juliet,16.408,2011-02-11,5.8,1085, , , 
38,tt0383010,The Three Stooges,The Three Stooges,2012,92.0,"Comedy,Family",5.1,28570.0,[35],76489,en,The Three Stooges,9.357999999999999,2012-04-13,5.1,215,"$30,000,000","$44,338,224","$54,052,249"
40,tt0393049,Anderson's Cross,Anderson's Cross,2010,98.0,"Comedy,Drama,Romance",5.5,106.0,"[10749, 35, 18]",324352,en,Anderson's Cross,0.6,2010-05-20,5.0,1,"$300,000",$0,$0
41,tt0398286,Tangled,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366.0,"[16, 10751]",38757,en,Tangled,21.511,2010-11-24,7.5,6407,"$260,000,000","$200,821,936","$586,477,240"
42,tt0401729,John Carter,John Carter,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,"[28, 12, 878]",49529,en,John Carter,18.549,2012-03-09,6.1,3338,"$275,000,000","$73,058,679","$282,778,100"
43,tt0402887,Capture the Flag,Capture the Flag,2010,91.0,Drama,6.0,473.0,"[35, 16, 12, 10751]",300602,es,Atrapa la bandera,8.225,2015-12-04,5.9,123, , , 
45,tt0403935,Action Jackson,Action Jackson,2014,144.0,"Action,Thriller",3.3,2862.0,"[28, 12, 35, 80, 18]",10117,en,Action Jackson,6.744,1988-02-12,5.2,81,"$7,000,000","$20,257,000","$20,257,000"
46,tt0404978,Gambit,Gambit,2012,89.0,"Comedy,Crime",5.7,22148.0,"[35, 80]",97434,en,Gambit,8.353,2012-04-25,5.2,366, , , 
47,tt0409379,In Secret,In Secret,2013,107.0,"Crime,Drama,Thriller",6.2,7045.0,"[18, 53, 80]",172226,en,In Secret,8.275,2014-02-21,5.9,100, , , 
